trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.45, 'e': 0.6159999999999997}",20,3,-1.6753922548459963,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.45, 'e': 0.6129999999999997}",25,4,-20.313017689687513,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.45, 'e': 0.6099999999999997}",20,15,4.623191003905163,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.45, 'e': 0.6069999999999997}",20,12,-40.247632270085866,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.45, 'e': 0.6039999999999996}",20,1,17.388716857204084,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.45, 'e': 0.6009999999999996}",30,0,-51.20129475628785,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
134,False,"{'a': 0.45, 'e': 0.5979999999999996}",20,5,-9.219707536279241,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.45, 'e': 0.5949999999999996}",20,0,-16.605057773301855,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
136,False,"{'a': 0.45, 'e': 0.5919999999999996}",25,3,-155.89653532362289,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 2}",1
137,False,"{'a': 0.45, 'e': 0.5889999999999996}",20,0,-70.4828926224977,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
138,False,"{'a': 0.45, 'e': 0.5859999999999996}",20,14,-8.006852276246473,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.45, 'e': 0.5829999999999996}",35,12,-69.05799590084936,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
140,False,"{'a': 0.45, 'e': 0.5799999999999996}",30,3,-45.44593167460989,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 1}",1
141,False,"{'a': 0.45, 'e': 0.5769999999999996}",20,0,-150.3055527927408,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
142,False,"{'a': 0.45, 'e': 0.5739999999999996}",20,3,-0.8256686859168421,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.45, 'e': 0.5709999999999996}",20,14,-1.0761373433645527,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.45, 'e': 0.5679999999999996}",20,0,-8.67546647201885,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
145,False,"{'a': 0.45, 'e': 0.5649999999999996}",20,12,-15.803836757276269,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.45, 'e': 0.5619999999999996}",30,14,-76.66974913714733,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
147,False,"{'a': 0.45, 'e': 0.5589999999999996}",25,5,-54.09916236979508,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
148,False,"{'a': 0.45, 'e': 0.5559999999999996}",25,12,-8.267346038000913,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.45, 'e': 0.5529999999999996}",30,0,-139.40342956438252,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 4}",0
150,False,"{'a': 0.45, 'e': 0.5499999999999996}",25,5,0.7841588985664747,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.45, 'e': 0.5469999999999996}",20,14,-0.8536392598124491,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.45, 'e': 0.5439999999999996}",20,7,-42.730904080543255,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
153,False,"{'a': 0.45, 'e': 0.5409999999999996}",25,0,-108.89062373134848,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
154,False,"{'a': 0.45, 'e': 0.5379999999999996}",20,16,8.600627903398763,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.45, 'e': 0.5349999999999996}",25,8,-162.3888057418612,"{0: 6, 1: 6, 2: 2, 3: 0, 4: 3}",1
156,False,"{'a': 0.45, 'e': 0.5319999999999996}",20,8,-45.509698780324996,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 0}",1
157,False,"{'a': 0.45, 'e': 0.5289999999999996}",20,3,8.974360163410687,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.45, 'e': 0.5259999999999996}",20,14,-2.786247737777316,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.45, 'e': 0.5229999999999996}",20,0,-36.52053887846584,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.45, 'e': 0.5199999999999996}",20,10,-23.886812195391286,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.45, 'e': 0.5169999999999996}",25,0,-25.46043894257559,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
162,False,"{'a': 0.45, 'e': 0.5139999999999996}",35,7,-115.62574362197327,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 3}",1
163,False,"{'a': 0.45, 'e': 0.5109999999999996}",20,0,-120.11305103522133,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
164,False,"{'a': 0.45, 'e': 0.5079999999999996}",35,17,-18.12432052548781,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.45, 'e': 0.5049999999999996}",30,20,-3.820283035474259,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
166,False,"{'a': 0.45, 'e': 0.5019999999999996}",30,11,-33.639596934637524,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.45, 'e': 0.49899999999999956}",30,0,-14.33448333778022,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
168,False,"{'a': 0.45, 'e': 0.49599999999999955}",25,0,-5.723416136868765,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.45, 'e': 0.49299999999999955}",20,2,-78.88087895211899,"{0: 14, 1: 0, 2: 0, 3: 3, 4: 1}",1
170,False,"{'a': 0.45, 'e': 0.48999999999999955}",25,5,-72.51455064546865,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
171,False,"{'a': 0.45, 'e': 0.48699999999999954}",20,7,-17.281948159202,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
172,False,"{'a': 0.45, 'e': 0.48399999999999954}",25,0,-57.58643141181846,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
173,False,"{'a': 0.45, 'e': 0.48099999999999954}",30,13,-9.967953772977074,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.45, 'e': 0.47799999999999954}",30,0,-14.57612774738649,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
175,False,"{'a': 0.45, 'e': 0.47499999999999953}",30,8,-96.25886313495265,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 1}",1
176,False,"{'a': 0.45, 'e': 0.47199999999999953}",25,4,-68.23764913203391,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
177,False,"{'a': 0.45, 'e': 0.46899999999999953}",20,0,-51.006769953016736,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
178,False,"{'a': 0.45, 'e': 0.4659999999999995}",25,0,-54.055500693463856,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
179,False,"{'a': 0.45, 'e': 0.4629999999999995}",25,3,-30.340454435354747,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
180,False,"{'a': 0.45, 'e': 0.4599999999999995}",20,0,-56.108479395773536,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.45, 'e': 0.4569999999999995}",30,15,2.9724451065712794,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.45, 'e': 0.4539999999999995}",20,1,-42.773134571318934,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
183,False,"{'a': 0.45, 'e': 0.4509999999999995}",20,0,-27.871026050718925,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
